Component,Type,Category,Value,Package,Quantity,Location,Datasheet,Projects_Used,Date_Added,Status,Notes
LCD16x2,Display,Display,16x2 Character,HD44780 Compatible,1,Storage,[Add datasheet link],None yet,24.10.25,Available,LCD Screen compatible with Hitachi HD44780 driver
DSO138mini,Test Equipment,Oscilloscope,0-200kHz BW,DIY Kit,1,[Add location],[Add datasheet],Photoresistor PWM Analysis,24.10.25,Available,Digital storage oscilloscope DIY kit for Arduino signal analysis
Arduino-Uno-R3,Development Board,Microcontroller,ATmega328P 5V 16MHz,Arduino Compatible,1,[Add location],[Add datasheet],All Arduino Projects,24.10.25,Available,Primary development board for embedded programming and electronics prototyping
Arduino-Leonardo,Development Board,Microcontroller,ATmega32u4 5V 16MHz USB,Arduino Compatible,1,[Add location],[Add datasheet],HID and USB Projects,24.10.25,Available,USB-native microcontroller for keyboard mouse and custom HID device development
LED-Red,LED,Visual-Feedback,2.0V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],Status Indicators,24.10.25,Available,Red LEDs for alerts power indicators and error states
LED-Green,LED,Visual-Feedback,2.2V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],Ready States,24.10.25,Available,Green LEDs for success ready states and go signals
LED-Blue,LED,Visual-Feedback,3.2V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],Information Display,24.10.25,Available,Blue LEDs for data activity and information indicators
LED-White,LED,Visual-Feedback,3.2V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],General Illumination,24.10.25,Available,White LEDs for bright status indication and task lighting
LED-Yellow,LED,Visual-Feedback,2.1V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],Warning Signals,24.10.25,Available,Yellow LEDs for caution warnings and processing indicators
LED-RGB,LED,Visual-Feedback,R:2.0V G:2.2V B:3.2V,5mm Common-Anode,5,[Add location],[Standard],Color Effects,24.10.25,Available,RGB LEDs for full spectrum color displays and advanced effects
Resistor-47ohm,Resistor,Current-Limiting,47Ω 1/4W 5%,Carbon Film,50+,[Add location],[Standard],LED Power Applications,24.10.25,Available,High current limiting for power LEDs and motor circuits with transistor drivers
Resistor-100ohm,Resistor,Current-Limiting,100Ω 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Low-Drop LED Control,24.10.25,Available,Low-voltage LED current limiting and impedance matching applications
Resistor-220ohm,Resistor,Current-Limiting,220Ω 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Standard LED Control,24.10.25,Available,Most common LED current limiting resistor for 5V Arduino applications
Resistor-330ohm,Resistor,Current-Limiting,330Ω 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Conservative LED Control,24.10.25,Available,Conservative LED current limiting for safe prototyping and learning
Resistor-1k2,Resistor,General-Purpose,1.2kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Signal Conditioning,24.10.25,Available,Moderate pull-ups and signal conditioning applications
Resistor-2k2,Resistor,General-Purpose,2.2kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Balanced General Purpose,24.10.25,Available,General-purpose pull-ups and voltage divider applications
